year_x,iso3_o_x,iso3_d_x,Exports,gmt_offset_2020_o_x,gmt_offset_2020_d_x,lndist_x,dist_x,contig_x,comlang_off_x,comlang_ethno_x,comcol_x,col45_x,asean,aifta,international,gdp_o_x,gdp_d_x,tradeflow_comtrade_o_x,tradeflow_comtrade_d_x,tradeflow_imf_o_x,tradeflow_imf_d_x,sum_tf
2020,CHL,IDN,97018.49772,4,7,9.66,15606,0,0,0,0,0,0,0,1,252727193.7,1058688935,96934.252,108901.941,96934.266,108901.945,205836.193
2020,CHL,IND,762831.466,4,5.5,9.74,16927,0,0,0,0,0,0,0,1,252727193.7,2667687952,754747.3,837667.911,773534.562,853682.562,1592415.211
2020,CHL,JPN,6624256.386,4,9,9.76,17242,0,0,0,0,0,0,0,1,252727193.7,5040107754,6374052.214,6743922.198,6374051.5,6552046,13117974.41
2020,CHL,KHM,5319.660266,4,7,9.77,17538,0,0,0,0,0,0,0,1,252727193.7,25872798.01,5335.381,5241.642,5335.381,5241.646,10577.023
2020,CHL,KOR,4183229.057,4,9,9.82,18364,0,0,0,0,0,0,0,1,252727193.7,1637895803,4145249.532,3527305.776,4145244.25,3525155,7672555.308
2020,CHL,LAO,184.69612,4,7,9.81,18164,0,0,0,0,0,0,0,1,252727193.7,18981800.71,184.692,,184.696,195.778,184.692
2020,CHL,LKA,9780.42577,4,5.5,9.67,15792,0,0,0,0,0,0,0,1,252727193.7,80969683.54,9780.423,14794.729,9780.427,14794.737,24575.152
2020,CHL,MMR,579.84815,4,6.5,9.78,17743,0,0,0,0,0,0,0,1,252727193.7,78930257.23,579.844,771.599,579.848,769.999,1351.443
2020,CHL,MYS,168167.7453,4,8,9.71,16556,0,0,0,0,0,0,0,1,252727193.7,337006023.8,160460.958,110841.14,160460.969,111283.648,271302.098
2020,CHL,NZL,57086.55126,4,12,9.18,9690,0,0,0,0,0,0,0,1,252727193.7,211734532.3,57100.79,73271.762,57100.801,73190.148,130372.552
2020,CHL,PAK,17151.39035,4,5,9.67,15838,0,0,0,0,0,0,0,1,252727193.7,300306331.7,17157.008,24038.68,17157.014,24156.049,41195.688
2020,CHL,PHL,215914.1595,4,8,9.78,17615,0,0,0,0,0,0,0,1,252727193.7,361751116.3,223596.015,36682.818,223596.031,36452.246,260278.833
2020,CHL,RUS,689648.2023,4,3,9.56,14117,0,0,0,0,0,0,0,1,252727193.7,1488321875,686177.055,864362.161,686177.062,861415.188,1550539.216
2020,CHL,SGP,47805.11259,4,8,9.70,16398,0,0,0,0,0,0,0,1,252727193.7,345295933.9,47208.979,51542.909,47208.992,40708.781,98751.888
2020,CHL,THA,367925.2803,4,7,9.78,17646,0,0,0,0,0,0,0,1,252727193.7,499681757,367342.342,410950.681,367342.375,413911.781,778293.023
